"pg_likes","pg_checkins","people_returns_pg","pg_category","c1_min","c1_max","c1_avg","c1_median","c1_std_dev","c2_min","c2_max","c2_avg","c2_median","c2_std_dev","c3_min","c3_max","c3_avg","c3_median","c3_std_dev","c4_min","c4_max","c4_avg","c4_median","c4_std_dev","c5_min","c5_max","c5_avg","c5_median","c5_std_dev","c1","c2","c3","c4","c5","baseTime","post_length","post_shares","post_promotion_status","hrs","post_pub_sun","post_pub_mon","post_pub_tue","post_pub_wed","post_pub_thu","post_pub_fri","post_pub_sat","base_sun","base_mon","base_tue","base_wed","base_thu","base_fri","base_sat","comments_received"
"185158.0","0.0","3073.0","44.0","59.0","59.0","59.0","59.0","0.0","16.0","16.0","16.0","16.0","0.0","43.0","43.0","43.0","43.0","0.0","54.0","54.0","54.0","54.0","0.0","-27.0","-27.0","-27.0","-27.0","0.0","59.0","16.0","43.0","54.0","-27.0","40.0","15.0","1.0","0.0","19.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","5.0"
"2095350.0","514.0","74821.0","52.0","0.0","80.0","12.963","6.0","18.3373","0.0","80.0","10.3704","3.0","18.2029","0.0","10.0","1.11111","0.0","2.43939","0.0","80.0","12.5926","6.0","18.0642","-6.0","80.0","9.25926","2.0","18.8966","9.0","9.0","0.0","9.0","9.0","8.0","595.0","11.0","0.0","24.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","4.0"
"4349420.0","0.0","614043.0","9.0","0.0","958.0","65.9742","24.0","126.961","0.0","787.0","61.0968","22.0","112.517","0.0","371.0","4.87742","0.0","33.6782","0.0","912.0","65.5871","24.0","124.844","-126.0","787.0","56.2194","21.0","107.096","26.0","26.0","0.0","26.0","26.0","1.0","86.0","15.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","30.0"
"512717.0","0.0","184784.0","34.0","0.0","136.0","21.9615","10.0","29.7509","0.0","89.0","16.2308","6.0","22.3939","0.0","47.0","5.42308","0.0","12.1439","0.0","132.0","21.7308","10.0","29.108","-21.0","56.0","10.8077","4.5","20.3357","2.0","2.0","0.0","2.0","2.0","23.0","251.0","1.0","0.0","13.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0"
"1501890.0","0.0","33752.0","14.0","0.0","20.0","5.88889","3.0","6.2795","0.0","13.0","3.44444","2.0","4.11261","0.0","18.0","2.44444","0.0","5.56","0.0","19.0","5.66667","2.0","6.09189","-16.0","13.0","1.0","1.0","7.49815","3.0","1.0","2.0","2.0","-1.0","48.0","122.0","1.0","0.0","21.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0"
"5366000.0","40729.0","102442.0","9.0","0.0","642.0","121.148","54.0","154.874","0.0","432.0","63.1852","37.5","88.9147","0.0","520.0","57.0","0.0","137.896","0.0","633.0","120.537","54.0","154.105","-503.0","432.0","6.18518","25.0","172.241","46.0","0.0","10.0","44.0","-10.0","56.0","107.0","5.0","0.0","6.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1351560.0","28.0","54809.0","4.0","0.0","569.0","85.0714","37.0","142.956","0.0","187.0","46.4286","36.5","51.1059","0.0","502.0","37.1429","0.0","128.98","0.0","506.0","80.3571","36.5","127.935","-435.0","187.0","9.28571","30.5","133.737","37.0","2.0","14.0","35.0","-12.0","54.0","14.0","1.0","0.0","24.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"4377560.0","27.0","1508010.0","20.0","0.0","2077.0","145.021","65.0","258.242","0.0","1390.0","81.8807","30.0","161.918","0.0","1877.0","55.2387","0.0","177.084","0.0","1877.0","139.741","64.0","244.476","-1677.0","1390.0","26.642","14.0","225.396","146.0","146.0","0.0","146.0","146.0","6.0","73.0","264.0","0.0","21.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","37.0"
"4196950.0","3849.0","39394.0","17.0","0.0","88.0","16.3846","6.0","23.2794","0.0","88.0","11.9615","4.5","20.0355","0.0","53.0","4.19231","0.0","11.0419","0.0","88.0","16.1538","6.0","22.966","-30.0","88.0","7.76923","4.0","22.3406","88.0","88.0","0.0","88.0","88.0","11.0","254.0","92.0","0.0","8.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","22.0"
"8763150.0","0.0","651463.0","4.0","1218.0","1218.0","1218.0","1218.0","0.0","521.0","521.0","521.0","521.0","0.0","697.0","697.0","697.0","697.0","0.0","1162.0","1162.0","1162.0","1162.0","0.0","-176.0","-176.0","-176.0","-176.0","0.0","1218.0","521.0","697.0","1162.0","-176.0","29.0","141.0","603.0","0.0","24.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","130.0"
"4913790.0","60.0","158828.0","9.0","0.0","802.0","118.229","83.0","175.053","0.0","802.0","106.371","75.0","171.106","0.0","236.0","10.9143","0.0","41.1633","0.0","802.0","117.857","80.0","174.905","-94.0","802.0","95.4571","65.0","176.384","149.0","149.0","0.0","149.0","149.0","21.0","116.0","734.0","0.0","3.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","4.0"
"49408300.0","0.0","1008930.0","42.0","0.0","744.0","52.2857","30.0","112.099","0.0","141.0","19.9286","12.5","24.0212","0.0","603.0","28.0","1.0","92.1784","0.0","637.0","47.4524","30.0","95.9725","-462.0","57.0","-8.07143","0.0","76.0089","62.0","20.0","42.0","58.0","-22.0","30.0","172.0","361.0","0.0","24.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0"
"72606200.0","150.0","2333980.0","9.0","0.0","1653.0","118.062","34.0","264.402","0.0","1653.0","118.062","34.0","264.402","0.0","0.0","0.0","0.0","0.0","0.0","1653.0","118.062","34.0","264.402","0.0","1653.0","118.062","34.0","264.402","43.0","43.0","0.0","43.0","43.0","12.0","94.0","1.0","0.0","3.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"722396.0","0.0","17374.0","53.0","15.0","207.0","59.6667","31.0","67.2698","9.0","41.0","22.8333","20.5","10.4947","0.0","176.0","36.8333","0.0","64.3698","15.0","186.0","55.1667","31.0","59.7032","-145.0","41.0","-14.0","17.5","63.1031","54.0","9.0","45.0","48.0","-36.0","44.0","175.0","13.0","0.0","24.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","4.0"
"429905.0","45.0","120472.0","4.0","0.0","1833.0","207.505","53.0","362.838","0.0","1833.0","139.604","38.0","266.521","0.0","1097.0","63.7033","0.0","196.608","0.0","1833.0","198.989","53.0","343.184","-750.0","1833.0","75.9011","22.0","298.581","37.0","37.0","0.0","37.0","37.0","9.0","42.0","3.0","0.0","14.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","8.0"
"1317870.0","0.0","56331.0","24.0","79.0","86.0","82.5","82.5","3.5","79.0","86.0","82.5","82.5","3.5","0.0","0.0","0.0","0.0","0.0","79.0","86.0","82.5","82.5","3.5","79.0","86.0","82.5","82.5","3.5","79.0","79.0","0.0","79.0","79.0","4.0","3.0","81.0","0.0","16.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","30.0"
"2853250.0","0.0","40478.0","45.0","0.0","15.0","3.94444","3.0","3.75607","0.0","13.0","2.63889","1.0","3.30112","0.0","8.0","0.75","0.0","1.70579","0.0","14.0","3.91667","3.0","3.67707","-7.0","13.0","1.88889","1.0","4.03992","0.0","0.0","0.0","0.0","0.0","34.0","128.0","1.0","0.0","21.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"640987.0","0.0","84288.0","1.0","0.0","63.0","8.81579","5.0","10.0565","0.0","41.0","6.15789","3.5","7.69778","0.0","52.0","2.17544","0.0","6.35395","0.0","57.0","8.67544","5.0","9.70937","-41.0","41.0","3.98246","3.0","10.305","5.0","5.0","0.0","5.0","5.0","14.0","91.0","65.0","0.0","24.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1844990.0","9314.0","43448.0","9.0","12.0","354.0","69.9333","31.0","91.9329","3.0","354.0","52.5333","21.0","91.7866","0.0","135.0","17.4","0.0","34.5404","12.0","354.0","69.0","30.0","91.6915","-110.0","354.0","35.1333","19.0","103.846","21.0","21.0","0.0","21.0","21.0","7.0","154.0","27.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0"
"640987.0","0.0","84288.0","1.0","0.0","63.0","8.81579","5.0","10.0565","0.0","41.0","6.15789","3.5","7.69778","0.0","52.0","2.17544","0.0","6.35395","0.0","57.0","8.67544","5.0","9.70937","-41.0","41.0","3.98246","3.0","10.305","3.0","3.0","0.0","3.0","3.0","9.0","79.0","31.0","0.0","6.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"319720.0","65.0","11739.0","4.0","0.0","72.0","2.04598","0.0","8.91455","0.0","55.0","1.6092","0.0","7.45154","0.0","17.0","0.436782","0.0","1.91606","0.0","71.0","2.0","0.0","8.82395","-3.0","44.0","1.17241","0.0","6.23893","2.0","1.0","1.0","2.0","0.0","36.0","8.0","1.0","0.0","13.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0"
"3361900.0","0.0","69511.0","20.0","0.0","87.0","18.625","9.0","20.9146","0.0","69.0","9.5","3.5","15.5563","0.0","82.0","5.75","0.0","14.9687","0.0","86.0","18.0625","9.0","20.5456","-77.0","69.0","3.75","1.0","22.7239","18.0","0.0","1.0","17.0","-1.0","66.0","94.0","34.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"518876.0","0.0","51411.0","24.0","2.0","133.0","47.8333","34.5","47.8101","1.0","77.0","26.3333","8.5","30.6576","0.0","124.0","21.5","0.0","45.8757","2.0","125.0","46.5","34.5","45.4707","-115.0","77.0","4.83333","5.0","61.6696","2.0","2.0","0.0","2.0","2.0","5.0","160.0","3.0","0.0","24.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","4.0"
"4716840.0","0.0","490422.0","5.0","0.0","1128.0","81.8785","30.0","164.593","0.0","616.0","53.2991","24.0","87.8615","0.0","837.0","25.8318","0.0","114.181","0.0","1083.0","79.1776","30.0","155.559","-615.0","616.0","27.4673","10.0","122.844","180.0","180.0","0.0","180.0","180.0","13.0","78.0","1074.0","0.0","12.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","28.0"
